"","pub_id","author_name","author_id"
"1172",226,"Kopacek, Jiri","1439"
"1173",226,"Moser, Katrina","1440"
"1174",226,"Nydick, Koren","1441"
"1175",226,"Oleksy, Isabella","1442"
"1176",226,"Sadro, Steven","1443"
"1177",226,"Sommaruga, Ruben","1444"
"1178",226,"Vinebrooke, Rolf","1445"
"1179",226,"Williams, Jason","1446"
"1180",227,"Gustafson, J O","444"
"1181",227,"Tester, J W","1145"
"1182",227,"Beyers, S.","111"
"1183",227,"Jordan, Teresa E.","1732"
"1184",227,"Fulton, Patrick M.","1733"
"1185",227,"Hawkins, Adam J.","1734"
"1186",227,"Smith, Jared D.","1735"
"1187",227,"Aswad, Jood Al","1736"
"1188",227,"Beckers, Koenraad F.","1737"
"1189",227,"Allmendinger, Rick","1738"
"1190",227,"Brown, Larry","1739"
"1191",227,"Horowitz, Frank","1740"
"1192",227,"May, Daniel","1741"
"1193",227,"Khan, Tasnuva Ming","1742"
"1194",227,"Pritchard, Matt","1743"
"1195",228,"Shi, Z.","1069"
"1196",228,"Jin, Y.","575"
"1197",228,"Han, T.","465"
"1198",228,"Yang, H.","1279"
"1199",228,"Gond, R.","426"
"1200",228,"Subasi, Y.","1122"
"1201",228,"Asfaw, Habtom Desta","1447"
"1202",228,"Younesi, Reza","1448"
"1203",228,"Jonsson, Par G.","1449"
"1204",228,"Yang, Weihong","1450"
"1205",230,"Zhu, Yichuan","1317"
"1206",230,"Dortch, J M","300"
"1207",230,"Massey, M A","751"
"1208",230,"Haneberg, W C","460"
"1209",230,"Curl, Douglas C.","254"
"1210",236,"Pusarapu, V.","960"
"1211",236,"Sarma, R. Narayana","1027"
"1212",236,"Ochonma, P.","887"
"1213",236,"Gadikota, Greeshma","1451"
"1214",240,"Creason, C G","250"
"1215",240,"Justman, D M","598"
"1216",240,"Montross, S N","819"
"1217",240,"Rose, K.","1452"
"1218",240,"Bean, A.","1453"
"1219",240,"Mark-Moser, M.","1454"
"1220",240,"Wingo, P.","1455"
"1221",240,"Sabbatino, M.","1456"
"1222",240,"Thomas, R. B.","1457"
"1223",241,"Mauk, Jeffrey L.","761"
"1224",241,"Crafford, T.","248"
"1225",241,"Horton, J. W. Jr","595"
"1226",241,"Robinson, G.R., Jr","999"
"1227",241,"San Juan, C. A.","1326"
"1228",251,"Johnson, K.","582"
"1229",251,"Christensen, J N","211"
"1230",251,"Gardner, W P","396"
"1231",251,"Li, Li","1372"
"1232",251,"Carroll, R W H","188"
"1233",251,"Sprenger, Matthias","1458"
"1234",251,"Williams, Kenneth H.","1459"
"1235",251,"Thiros, Nicholas","1460"
"1236",251,"Brown, Wendy","1461"
"1237",251,"Beutler, Curtis","1462"
"1238",251,"Newman, Alexander","1463"
"1239",251,"Sullivan, Pamela L.","1464"
"1240",253,"Stergiou, C L","1110"
"1241",253,"Melfos, V.","784"
"1242",253,"Voudouris, P.","1201"
"1243",253,"Papadopoulou, L.","906"
"1244",253,"Sakellaris, Grigorios-Aarne","1465"
"1245",253,"Kantiranis, Nikolaos","1466"
"1246",253,"Skoupras, Evaggelos","1467"
"1247",256,"Chatterjee, S.","196"
"1248",256,"Karacan, CÖ","610"
"1249",256,"Mastalerz, M.","752"
"1250",257,"Boxleiter, A.","140"
"1251",257,"Wen, Y.","1229"
