"","author_id","author_name","canonical_key","extra","last_name","first_name","middle_name","check.accents"
"184",159,"Broadbent, Ashley","broadbent|a",NA,"Broadbent","Ashley",NA,NA
"185",1355,"Broadhead, Ron",NA,NA,"Broadhead","Ron",NA,NA
"186",1600,"Brolly, Connor",NA,NA,"Brolly","Connor",NA,NA
"187",160,"Brouillon, J.","brouillon|j",NA,"Brouillon","J",NA,NA
"188",162,"Brown, C J","brown|c",NA,"Brown","C","J",NA
"189",163,"Brown, D S","brown|d",NA,"Brown","D","S",NA
"190",572,"Brown, Jeb E.","je|b",NA,"Brown","Jeb","E",NA
"191",164,"Brown, Jessica","brown|j",NA,"Brown","Jessica",NA,NA
"192",1739,"Brown, Larry",NA,NA,"Brown","Larry",NA,NA
"193",165,"Brown, P J","brown|p",NA,"Brown","P","J",NA
"194",166,"Brown, S E","brown|s",NA,"Brown","S","E",NA
"195",1461,"Brown, Wendy",NA,NA,"Brown","Wendy",NA,NA
"196",167,"Bruckard, W.","bruckard|w",NA,"Bruckard","W",NA,NA
"197",1474,"Brugger, Joel",NA,NA,"Brugger","Joel",NA,NA
"198",1659,"Brunner, Benjamin",NA,NA,"Brunner","Benjamin",NA,NA
"199",168,"Brzozowski, M J","brzozowski|m",NA,"Brzozowski","M","J",NA
"200",1567,"Buarque-Andrade, Laura",NA,NA,"Buarque-Andrade","Laura",NA,NA
"201",1526,"Bucci, Francesco",NA,NA,"Bucci","Francesco",NA,NA
"202",170,"Buchanan, J W","buchanan|j",NA,"Buchanan","J","W",NA
"203",171,"Buck, B J","buck|b",NA,"Buck","B","J",NA
"204",172,"Buddington, A.","buddington|a",NA,"Buddington","A",NA,NA
"205",1585,"Buffalo Bayou Hurricane Hike",NA,"Buffalo Bayou Hurricane Hike",NA,NA,NA,NA
"206",173,"Burheim, O S","burheim|o",NA,"Burheim","O","S",NA
"207",174,"Burnett, M.","burnett|m",NA,"Burnett","M",NA,NA
"208",175,"Burpee, B T","burpee|b",NA,"Burpee","B","T",NA
"209",1499,"Bussche, Ronald A. Van Den",NA,"Van Den","Bussche","Ronald","A",NA
"210",1609,"Bylund, Kevin G.",NA,NA,"Bylund","Kevin","G",NA
"211",1601,"Byrne, Robert H.",NA,NA,"Byrne","Robert","H",NA
"212",1377,"Caine, Jonathan Saul",NA,NA,"Caine","Jonathan","Saul",NA
"213",1430,"Calder, W. John",NA,NA,"Calder","W","John",NA
"214",178,"Calvo, J A M","calvo|j",NA,"Calvo","J","A M",NA
"215",179,"Campanaro, João Felipe","campanaro|jf",NA,"Campanaro","João","Felipe",1
"216",180,"Campbell, Kate M.","campbell|km",NA,"Campbell","Kate","M",NA
"217",181,"Campoe, Otávio C.","campoe|oc",NA,"Campoe","Otávio","C",1
"218",182,"Campos, D S De","campos|dd","De","Campos","D","S",NA
"219",183,"Canfield, D E","canfield|d",NA,"Canfield","D","E",NA
"220",184,"Canham, H A","canham|h",NA,"Canham","H","A",NA
"221",185,"Cannon, W F","cannon|w",NA,"Cannon","W","F",NA
"222",186,"Carey, Nathan J.","carey|nj",NA,"Carey","Nathan","J",NA
"223",187,"Carlson, S M","carlson|s",NA,"Carlson","S","M",NA
"224",188,"Carroll, R W H","carroll|r",NA,"Carroll","R","W H",NA
"225",189,"Carter, David R.","carter|dr",NA,"Carter","David","R",NA
"226",191,"Case, George N. D.","case|gnd",NA,"Case","George","N D",NA
"227",190,"Casey, C P","casey|c",NA,"Casey","C","P",NA
"228",1717,"Celebi, Hasan F.",NA,NA,"Celebi","Hasan","F",NA
"229",192,"Champion, D.","champion|d",NA,"Champion","D",NA,NA
"230",1401,"Chan, Andy",NA,NA,"Chan","Andy",NA,NA
"231",1599,"Chandler, Val W.",NA,NA,"Chandler","Val","W",NA
"232",1387,"Chang, Hao",NA,NA,"Chang","Hao",NA,NA
"233",193,"Chapman, M C","chapman|m",NA,"Chapman","M","C",NA
"234",194,"Chappell, W T","chappell|w",NA,"Chappell","W","T",NA
"235",1613,"Charbonnier, Sylvain",NA,NA,"Charbonnier","Sylvain",NA,NA
"236",195,"Chase, Brandon Franklin Werner","chase|bfw","Werner","Chase","Brandon","Franklin",NA
"237",196,"Chatterjee, S.","chatterjee|s",NA,"Chatterjee","S",NA,NA
"238",197,"Chellam, Shankararaman","chellam|s",NA,"Chellam","Shankararaman",NA,NA
"239",198,"Chellman, K.","chellman|k",NA,"Chellman","K",NA,NA
"240",1546,"Chen, Lihua",NA,NA,"Chen","Lihua",NA,NA
"241",1541,"Chen, Liyang",NA,NA,"Chen","Liyang",NA,NA
"242",1547,"Chen, Weiqiang",NA,NA,"Chen","Weiqiang",NA,NA
"243",200,"Chen, Y L","chen|y",NA,"Chen","Y","L",NA
"244",199,"Cheng, Y.","cheng|y",NA,"Cheng","Y",NA,NA
"245",201,"Cherrat, A.","cherrat|a",NA,"Cherrat","A",NA,NA
"246",202,"Chiang, W P","chiang|w",NA,"Chiang","W","P",NA
"247",203,"Chiarenzelli, J R","chiarenzelli|j",NA,"Chiarenzelli","J","R",NA
"248",204,"Chileen, B V","chileen|b",NA,"Chileen","B","V",NA
"249",205,"Chilton, K D","chilton|k",NA,"Chilton","K","D",NA
"250",206,"Chipangamate, N.","chipangamate|n",NA,"Chipangamate","N",NA,NA
"251",1635,"Cho, Seong-Jun",NA,NA,"Cho","Seong-Jun",NA,NA
"252",208,"Choat, B.","choat|b",NA,"Choat","B",NA,NA
"253",207,"Choate, L M","choate|l",NA,"Choate","L","M",NA
"254",209,"Choi, S K","choi|s",NA,"Choi","S","K",NA
"255",1696,"Choma, Nicole",NA,NA,"Choma","Nicole",NA,NA
